Feature,Importance,Importance_Normalized
price_130,0.06632654028554714,0.14863076255957053
price_120,0.05905165512886516,0.13232851426324926
price_140,0.04526874947506063,0.10144248027455989
price_190,0.04359457904149967,0.09769084138123632
price_110,0.03155119093591513,0.07070288225917813
price_100,0.030526739509045192,0.06840719495021566
price_180,0.03013221128402529,0.06752309892042832
price_90,0.026799120327549796,0.06005399457081836
price_170,0.018083001387785378,0.04052209378118238
price_150,0.01703064723525267,0.03816387941480227
price_70,0.016012104533019267,0.03588143293288582
price_60,0.01246942979596503,0.027942673495079975
price_40,0.008763713089383863,0.01963855424571642
price_0,0.008210998306433263,0.018399978868284952
price_30,0.006979114470419191,0.015639457466997905
price_80,0.005246529365342092,0.011756917472324359
price_20,0.005157409006470977,0.011557208172825698
price_10,0.005108595346171323,0.011447821922277628
price_50,0.0049264383128169486,0.011039627274155006
price_160,0.003467710797619303,0.0077707731771820355
price_81,0.0002390461975116,0.0005356772488079992
price_71,0.00020209820410315807,0.00045288070293510434
price_51,0.00015823554961097837,0.0003545891328186357
price_61,0.0001242189488772542,0.0002783615279266679
price_111,6.480061847081303e-05,0.00014521133314332468
price_171,6.430708814145943e-05,0.00014410538386747972
price_91,6.375770965619761e-05,0.00014287428478034584
price_62,5.9324788171902306e-05,0.00013294057652809912
price_21,5.787914021826465e-05,0.00012970103234538123
price_41,4.9157455494943464e-05,0.00011015665922339199
price_52,4.837550814859443e-05,0.00010840439791338039
price_1,4.675198051021444e-05,0.00010476624416843769
price_101,3.739215670636155e-05,8.379186885200022e-05
price_131,3.7055777557210835e-05,8.303807875180552e-05
price_82,3.392371694342798e-05,7.601946214063906e-05
price_31,2.6441450640460643e-05,5.925249462663858e-05
price_151,2.585355964833956e-05,5.793509308444026e-05
price_181,2.0804843432816853e-05,4.662145396155775e-05
price_72,1.844518371150821e-05,4.133370606683407e-05
price_121,1.7436294969584027e-05,3.907289308903682e-05
price_161,1.7310327943949257e-05,3.879061430596065e-05
price_11,1.6058732203620913e-05,3.5985920611695284e-05
price_93,1.5462878861591808e-05,3.465067628539424e-05
price_42,1.4409023903108305e-05,3.228909877159289e-05
price_141,1.4355548697082659e-05,3.2169266490044594e-05
price_92,1.2943474526634733e-05,2.9004957604931805e-05
price_32,8.851892965421906e-06,1.9836156022644905e-05
price_191,8.275337935446243e-06,1.8544157172804218e-05
price_63,5.178491101995135e-06,1.1604450919403753e-05
price_4,3.515089221290649e-06,7.876943214226423e-06
price_14,3.277954219572607e-06,7.345548753077395e-06
price_43,2.652233600323301e-06,5.9433750170754215e-06
price_102,2.6209765159364708e-06,5.873331196490138e-06
price_83,2.4458621104920738e-06,5.480918332735838e-06
price_172,2.3892350688115665e-06,5.354023120800588e-06
price_112,2.334303543448119e-06,5.230927381626195e-06
price_132,1.4065385444344365e-06,3.1519041326247597e-06
price_3,1.3783669125897444e-06,3.0887744848910233e-06
price_142,1.2667202518672791e-06,2.8385861251639955e-06
price_162,1.2654398799688332e-06,2.8357169471425493e-06
